,ID,dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol),gb_Ex_difference,SQR_gbnsr6_Ex_difference,pb_Ex_difference
49,50,Mobley benchmarkset,gdcc-set1,oa,guest-5,-4.73,0.01,-4.45,0.08,-88.4759,-0.5729,-14.3696,-75.1177,1.5842,-733.1773,-41.2036,654.0574,-1354.6265,8.5955,-828.7896,-60.9362,863.8516,-1640.2012,8.4963,-816.4562,-32.0959,863.8516,-1656.7082,8.4963,-38.0548,52.222,-14.3696,-77.4914,1.5842,-788.0944,-84.3179,654.0574,-1366.4294,8.5955,-9.466699999999946,-7.1363999999999805,-4.45,-5.016699999999946,25.16727888999946,-2.6863999999999804
50,51,Mobley benchmarkset,gdcc-set1,oa,guest-6,-9.37,0.01,-14.78,0.02,-69.4741,-1.8199,3.0856,-72.5923,1.8524,-736.4825,-42.0642,677.3402,-1380.2716,8.5131,-821.6575,-67.7373,898.3322,-1660.5098,8.2573,-837.8113,-70.0306,898.3322,-1674.3703,8.2573,-55.5602,14.2399,3.0856,-74.7381,1.8524,-789.8759,-84.2705,677.3402,-1391.4588,8.5131,-16.228399999999965,-15.700900000000047,-14.78,-1.4483999999999657,2.097862559999901,-0.9209000000000476
51,52,Mobley benchmarkset,gdcc-set1,oa,guest-7,-4.49,0.01,-5.91,0.1,46.839,-0.7399,94.9982,-49.5227,2.1034,-734.7271,-37.8607,661.8415,-1367.1831,8.4752,-703.6363,-56.2562,536.3743,-1192.3653,8.6109,-816.9802,-155.5157,536.3743,-1206.4497,8.6109,-28.9667,-75.175,94.9982,-50.8933,2.1034,-787.7602,-80.3408,661.8415,-1377.7361,8.4752,-17.908900000000017,-15.74820000000011,-5.91,-11.998900000000017,143.9736012100004,-9.83820000000011
52,53,Mobley benchmarkset,gdcc-set1,oa,guest-8,-3.72,0.01,-9.96,0.11,17.1632,-0.2457,66.7274,-51.3796,2.0611,-732.762,-38.2766,647.3511,-1350.4069,8.5704,-732.9721,-59.9428,478.4095,-1159.9349,8.4961,-800.5099,-112.2727,478.4095,-1175.1428,8.4961,-16.5514,-32.8805,66.7274,-52.4593,2.0611,-785.5054,-79.3921,647.3511,-1362.0348,8.5704,-19.87360000000001,-17.373299999999972,-9.96,-9.91360000000001,98.27946496000018,-7.413299999999971
53,54,SAMPL5,sample,OAH,guest-1,-5.04,0.01,-7.69,0.01,-75.1904,-0.9877,4.6991,-80.4206,1.5188,-734.7783,-37.9335,671.9675,-1377.178,8.3657,-819.145,-61.6989,922.8621,-1688.3899,8.0817,-845.4965,-72.6303,922.8621,-1703.81,8.0817,-69.9357,7.2396,4.6991,-83.3932,1.5188,-788.3207,-79.8699,671.9675,-1388.784,8.3657,-10.017799999999966,-9.176300000000083,-7.69,-2.3277999999999652,5.418652839999838,-1.4863000000000826
54,55,SAMPL5,sample,OAH,guest-2,-4.25,0.01,-4.39,0.03,-89.4726,-0.615,-14.1758,-76.2822,1.6004,-732.8999,-36.7056,675.4077,-1379.9858,8.3838,-829.7757,-61.3059,907.4024,-1684.0482,8.1761,-813.632,-30.3558,907.4024,-1698.8547,8.1761,-39.1434,52.2851,-14.1758,-78.8531,1.6004,-789.2523,-82.6409,675.4077,-1390.4029,8.3838,-9.221599999999853,-7.4032000000000835,-4.39,-4.831599999999853,23.344358559998582,-3.013200000000084
55,56,SAMPL5,sample,OAH,guest-3,-5.06,0.01,-5.93,0.08,46.043,-1.6469,95.4042,-49.6576,1.9433,-731.1777,-40.7953,678.2864,-1377.0686,8.3998,-702.9133,-67.5685,529.8172,-1173.3377,8.1757,-808.6401,-157.4342,529.8172,-1189.1988,8.1757,-28.7162,-74.9358,95.4042,-51.1279,1.9433,-783.8365,-82.4983,678.2864,-1388.0243,8.3998,-21.213699999999903,-17.778600000000097,-5.93,-15.283699999999904,233.59148568999706,-11.848600000000097
56,57,SAMPL5,sample,OAH,guest-4,-9.37,0.0,-14.8,0.01,-71.3182,-2.9703,3.4192,-73.6135,1.8464,-733.3951,-41.3311,682.5314,-1382.9906,8.3952,-823.3637,-73.5548,923.0019,-1680.8834,8.0727,-834.1847,-69.8434,923.0019,-1695.4159,8.0727,-56.3469,14.3225,3.4192,-75.9349,1.8464,-786.2667,-84.1659,682.5314,-1393.0275,8.3952,-20.824500000000057,-18.65039999999999,-14.8,-6.024500000000057,36.294600250000684,-3.85039999999999
57,58,SAMPL5,sample,OAH,guest-5,-4.5,0.0,-9.9,0.05,16.4873,-1.2918,65.2257,-49.3898,1.9432,-730.2861,-37.2694,669.4261,-1370.8423,8.3995,-729.2633,-60.879,491.5438,-1168.1072,8.1792,-796.4612,-112.8583,491.5438,-1183.3259,8.1792,-16.6013,-33.1219,65.2257,-50.6483,1.9432,-783.6079,-79.7364,669.4261,-1381.6971,8.3995,-18.569799999999987,-15.46449999999993,-9.9,-8.669799999999986,75.16543203999976,-5.56449999999993
58,59,SAMPL5,sample,OAH,guest-6,-5.33,0.0,-5.67,0.01,-115.583,-0.2699,-42.6661,-74.3067,1.6596,-732.4071,-38.4452,672.6034,-1374.9652,8.3998,-853.9879,-65.3614,884.8666,-1681.684,8.191,-811.6442,-9.3437,884.8666,-1695.3582,8.191,-43.8887,73.7469,-42.6661,-76.6291,1.6596,-787.7553,-83.0905,672.6034,-1385.668,8.3998,-6.646499999999946,-5.997799999999984,-5.67,-0.9764999999999464,0.9535522499998953,-0.3277999999999839
59,60,SAMPL5,sample,OAME,guest-1,-5.24,0.05,-9.96,0.01,-73.4309,-0.5496,5.4965,-79.9233,1.5455,-990.9853,-47.8239,385.821,-1337.6383,8.6559,-1071.9933,-72.4069,624.483,-1632.3909,8.3215,-660.6131,355.9089,624.483,-1649.3266,8.3215,-68.5374,7.5812,5.4965,-83.1606,1.5455,-607.0857,348.3278,385.821,-1349.8903,8.6559,-9.023400000000038,-7.577099999999973,-9.96,0.936599999999963,0.8772195599999307,2.3829000000000278
60,61,SAMPL5,sample,OAME,guest-2,-5.04,0.03,-7.56,0.1,-88.315,-0.3245,-15.1855,-74.4455,1.6404,-989.1748,-45.2208,385.2185,-1337.8038,8.6313,-1077.5351,-65.2661,610.1913,-1630.8018,8.3416,-626.6331,402.6449,610.1913,-1647.8109,8.3416,-37.7721,52.3926,-15.1855,-76.6196,1.6404,-606.2572,350.2523,385.2185,-1350.3593,8.6313,-2.324600000000032,-0.04529999999999745,-7.56,5.235399999999967,27.40941315999966,7.514700000000002
61,62,SAMPL5,sample,OAME,guest-6,-4.52,0.02,-9.05,0.13,-115.7813,0.0257,-43.1206,-74.3057,1.6193,-989.04,-42.5442,381.48,-1336.6579,8.6821,-1109.3041,-60.1456,569.466,-1627.0072,8.3827,-637.5719,428.4759,569.466,-1643.8965,8.3827,-43.4186,74.4942,-43.1206,-76.4116,1.6193,-604.545,353.9817,381.48,-1348.6888,8.6821,-7.235400000000027,-4.4827999999999975,-9.05,1.8145999999999738,3.292773159999905,4.567200000000003
62,63,SAMPL6,sample,OAA,guest-6,-4.97,,-5.3,,-68.5543,8.0511,-0.2944,-77.8531,1.5421,-899.0737,-38.9342,535.3459,-1403.8171,8.3317,-968.8175,-52.6206,787.3431,-1711.5733,8.0334,-868.2869,64.0587,787.3431,-1727.7221,8.0334,-80.1564,-1.3397,-0.2944,-80.0643,1.5421,-806.3356,65.3984,535.3459,-1415.4116,8.3317,-3.5323999999999387,-1.1894999999999527,-5.3,1.7676000000000611,3.124409760000216,4.110500000000047
63,64,SAMPL6,sample,temoa,guest-1,-5.97,,-8.2,,-97.7932,-0.2002,-20.4218,-78.7869,1.6158,-941.1672,-45.6106,432.2248,-1336.4929,8.7115,-1046.2841,-63.6693,643.9577,-1634.9557,8.3832,-863.1996,137.716,643.9577,-1653.2565,8.3832,-71.9811,27.8526,-20.4218,-81.0277,1.6158,-799.615,109.8633,432.2248,-1350.4146,8.7115,-9.462000000000103,-7.323700000000144,-8.2,-1.2620000000001035,1.5926440000002613,0.8762999999998549
64,65,SAMPL6,sample,CB8,guest-5,-8.18,,-3.2,,-33.8077,3.9992,18.6307,-58.2196,1.7821,1499.0606,-49.0064,1726.3218,-184.4626,6.2079,1446.6907,-71.1716,1673.536,-161.3551,5.6814,-1314.1357,-2834.4331,1673.536,-158.92,5.6814,-40.3715,-1.3654,18.6307,-59.4188,1.7821,-1275.9705,-2832.4453,1726.3218,-176.0548,6.2079,-23.95810000000006,-18.562199999999848,-3.2,-20.75810000000006,430.89871561000245,-15.362199999999849
65,66,SAMPL6,sample,CB8,guest-6,-8.34,,-5.7,,-14.3304,0.7079,44.1999,-60.8356,1.5973,1499.0505,-49.0064,1726.3218,-184.5433,6.2785,1474.7234,-73.8721,1709.7378,-166.9189,5.7765,-1301.8072,-2852.8695,1709.7378,-164.452,5.7765,-37.0227,-20.4242,44.1999,-62.3957,1.5973,-1275.1356,-2832.4453,1726.3218,-175.2906,6.2785,-15.222499999999854,-9.996699999999919,-5.7,-9.522499999999855,90.67800624999724,-4.296699999999919
66,67,SAMPL6,sample,CB8,guest-7,-10.0,,-6.5,,-17.4886,1.5257,38.7359,-59.437,1.6868,1499.0719,-49.0064,1726.3218,-184.5312,6.2877,1462.267,-75.1637,1696.7623,-165.1105,5.7789,-1307.4795,-2847.9638,1696.7623,-162.0569,5.7789,-36.0657,-15.5185,38.7359,-60.9698,1.6868,-1274.9697,-2832.4453,1726.3218,-175.1339,6.2877,-24.127099999999928,-19.316299999999956,-6.5,-17.627099999999928,310.7146544099974,-12.816299999999956
67,68,SAMPL6,sample,CB8,guest-8,-13.5,,-14.4,,-8.2609,3.3647,45.406,-59.1552,2.1236,1498.8121,-49.0064,1726.3218,-184.7117,6.2084,1470.6753,-70.6721,1699.7389,-164.0704,5.679,-1310.0401,-2855.3382,1699.7389,-160.1198,5.679,-36.013,-22.8929,45.406,-60.6497,2.1236,-1275.1234,-2832.4453,1726.3218,-175.2083,6.2084,-23.934099999999944,-19.8759,-14.4,-9.534099999999944,90.89906280999892,-5.475900000000001
68,69,SAMPL6,sample,CB8,guest-9,-8.68,,-4.6,,0.0904,-0.6967,57.0318,-57.9028,1.6581,1499.1331,-49.0064,1726.3218,-184.4052,6.223,1487.8569,-65.736,1711.3958,-163.512,5.7092,-1332.0733,-2888.7892,1711.3958,-160.389,5.7092,-50.6755,-50.255,57.0318,-59.1104,1.6581,-1275.4752,-2832.4453,1726.3218,-175.5746,6.223,-21.95550000000003,-11.366600000000062,-4.6,-17.355500000000028,301.21338025000097,-6.766600000000063
69,70,SAMPL6,sample,CB8,guest-10,-8.22,,-2.0,,59.4054,-2.4011,125.264,-65.2293,1.7718,1499.2301,-49.0064,1726.3218,-184.3334,6.2481,1542.4448,-75.969,1777.406,-164.6854,5.6932,-1357.0386,-2978.6044,1777.406,-161.5333,5.6932,-84.5345,-146.1591,125.264,-65.4112,1.7718,-1275.2788,-2832.4453,1726.3218,-175.4034,6.2481,-21.786800000000085,-16.190700000000106,-2.0,-19.786800000000085,391.51745424000336,-14.190700000000106
70,71,SAMPL6,sample,CB8,guest-11,-7.77,,-2.11,,-36.8744,-1.0304,157.8995,-195.3613,1.6177,1499.0875,-49.0064,1726.3218,-184.5221,6.2942,1449.6802,-70.6514,1743.1452,-228.7908,5.9772,-1353.6577,-2877.8646,1743.1452,-224.9155,5.9772,-86.239,-45.4193,157.8995,-200.3369,1.6177,-1275.1772,-2832.4453,1726.3218,-175.3479,6.2942,-12.85609999999997,-12.532900000000154,-2.11,-10.74609999999997,115.47866520999935,-10.422900000000155
71,72,SAMPL6,sample,CB8,guest-12,-7.05,,-4.8,,-33.6213,5.7707,15.8391,-58.7548,3.5237,1498.63,-49.0064,1726.3218,-184.9021,6.2167,1468.4377,-64.0496,1685.238,-159.1673,6.4166,-1245.8959,-2783.1928,1685.238,-154.3577,6.4166,9.2574,49.2525,15.8391,-59.3579,3.5237,-1276.1637,-2832.4453,1726.3218,-176.2569,6.2167,0.19650000000001455,3.42899999999986,-4.8,4.996500000000014,24.965012250000143,8.22899999999986
