dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol)
pdbbind,refined,1drk,guest-ligand,-1.151915683,NA,NA,NA,-119.2,-0.73,-81.55,-38.38,1.4751,-25520.03,-2537.172,-20559.04,-2481,57.671,-25686.305,-2555.5384,-20742.37,-2446,57.494,-10100.75,13082,-20742.37,-2498,57.494,-4.206,109.22,-81.55,-33.35,1.4751,-10064.7,12973.1,-20559,-2536.46,57.67,-49.4804,-47.075,
pdbbind,refined,1drv,guest-ligand,-1.126762299,NA,NA,NA,107.25,-9.889,358.11,-245.6,4.6001,-96208.23,-8536.396,-73223.74,-14660,211.79,-96056.3,-8602.6769,-73220.83,-14443,210.36,-40754.02,46862,-73220.83,-14605,210.36,-725.4,-850.3,358.11,-237.8,4.6001,-40109.4,47712,-73223.7,-14809.5,211.8,24.3881,44.68,
pdbbind,refined,1dud,guest-ligand,-0.943664357,NA,NA,NA,-1090,-2.08,1305.8,-2397,2.6801,-36471.49,-3671.797,-27409.05,-5471,80.843,-37178.271,-3711.6899,-25086.64,-8460,80.24,-15104.67,18510,-25086.64,-8609,80.24,-1145,-38.72,1305.8,-2415,2.6801,-14298.8,18549.1,-27409.1,-5519.7,80.84,301.3171,383.219,
pdbbind,refined,1duv,guest-ligand,-1.480859719,NA,NA,NA,176.28,-2.435,321.83,-145.6,2.4811,-93433.45,-10410.96,-72274.01,-10911,162.86,-93335.238,-10449.639,-72048.75,-10999,162.43,-37695.74,45366,-72048.75,-11175,162.43,-753.6,-929.1,321.83,-148.8,2.4811,-36933.1,46295.1,-72274,-11117,162.9,-45.284,-78.068,
pdbbind,refined,1dy4,guest-ligand,-0.883483234,NA,NA,NA,-51.32,-2.375,21.132,-72.71,2.6377,-38644.56,-4044.273,-28242.26,-6438,79.64,-38707.351,-4099.3242,-28773.4,-5913,78.515,-14128.84,20513,-28773.4,-5947,78.515,7.5316,55.709,21.132,-71.95,2.6377,-14195.9,20457.1,-28242.3,-6490.39,79.64,6.8522,-11.471,
pdbbind,refined,1dzk,guest-ligand,-1.084973263,NA,NA,NA,-26.68,-1.78,-16.53,-10.3,1.93,-14135.11,-532.2427,-9360.381,-4283,40.302,-14175.99,-560.8015,-9376.767,-4278,39.559,-5980.943,7666.8,-9376.767,-4311,39.559,50.123,74.928,-16.53,-10.2,1.93,-6045.74,7591.89,-9360.38,-4317.55,40.3,-12.1048,-14.2,
pdbbind,refined,1e2k,guest-ligand,-0.958419199,NA,NA,NA,12.731,-3.067,41.81,-28.28,2.27,-51694.41,-6029.381,-40350.73,-5431,116.79,-51697.528,-6075.7499,-40346.59,-5391,116.14,-23517.05,22138,-40346.59,-5424,116.14,-178.6,-195.4,41.81,-27.29,2.27,-23361.8,22333,-40350.7,-5460.78,116.8,-19.9519,-15.849,
pdbbind,refined,1e2l,guest-ligand,-0.87377204,NA,NA,NA,13.532,-2.881,42.943,-28.79,2.2607,-50738.07,-5927.418,-39645.81,-5278,113.05,-50726.848,-5973.4837,-39638.3,-5227,112.38,-22966.98,21832,-39638.3,-5273,112.38,-178,-195.5,42.943,-27.61,2.2607,-22817,22027.2,-39645.8,-5311.38,113,-15.1647,-2.31,
pdbbind,refined,1e3g,guest-ligand,-1.318334746,NA,NA,NA,-25.48,-1.356,-12.38,-14.3,2.5569,-21263.48,-1689.231,-16723.22,-2913,61.581,-21337.511,-1743.2982,-16769.06,-2886,60.851,-9812.564,9804.8,-16769.06,-2909,60.851,-50.6,-27.42,-12.38,-13.37,2.5569,-9761.25,9832.17,-16723.2,-2931.78,61.58,-53.4252,-48.551,
pdbbind,refined,1e3v,guest-ligand,-0.880724609,NA,NA,NA,-35.75,-4.154,-6.353,-28.36,3.123,-22344.54,-2352.973,-16382.87,-3671,62.757,-22325.714,-2396.8184,-16375.57,-3615,62.123,-10809.88,9172.5,-16375.57,-3669,62.123,-70.44,-42.35,-6.353,-24.86,3.123,-10826.7,9214.83,-16382.9,-3721.39,62.76,47.5686,54.576,
pdbbind,refined,1e4h,guest-ligand,-1.277652884,NA,NA,NA,-6.163,-1.203,1.4324,-8.054,1.6618,-42576.78,-4364.705,-32381.69,-5924,94.047,-42602.7,-4397.9095,-32378.59,-5920,93.275,-15688.49,22578,-32378.59,-5982,93.275,-13.24,-8.942,1.4324,-7.389,1.6618,-15680.2,22587.4,-32381.7,-5979.96,94.05,-27.0515,-19.757,
pdbbind,refined,1e5j,guest-ligand,-0.831776617,NA,NA,NA,-428.1,-13.95,-317.2,-101.5,4.5939,-28788.67,-3086.619,-15725.96,-10033,56.733,-29161.368,-3148.3982,-16134.06,-9935,56.404,-11292.53,14836,-16134.06,-10051,56.404,53.716,451.82,-317.2,-85.49,4.5939,-11394.3,14384.1,-15726,-10109.2,56.73,0.2248,55.402,
pdbbind,refined,1e6q,guest-ligand,-0.688441472,NA,NA,NA,-109.9,-1.878,-16.65,-93.1,1.7483,-87378.94,-6180.495,-68985.81,-12381,168.32,-87513.967,-6209.9301,-69441.64,-12030,167.92,-36388.93,45013,-69441.64,-12128,167.92,-0.561,103.63,-16.65,-89.29,1.7483,-36389.4,44909.4,-68985.8,-12481.3,168.3,-26.5261,-25.127,
pdbbind,refined,1e6s,guest-ligand,-0.701628816,NA,NA,NA,-199.2,-1.912,-157.4,-41.59,1.7336,-88833.92,-7690.812,-68920.78,-12391,168.56,-89042.585,-7718.2757,-69142.44,-12350,168.19,-36303.85,45124,-69142.44,-12454,168.19,22.689,213.79,-157.4,-35.44,1.7336,-36337.2,44910.6,-68920.8,-12495.5,168.6,-14.8907,-9.465,
pdbbind,refined,1eb2,guest-ligand,-1.076054849,NA,NA,NA,-142.5,-4.736,-51.35,-90.5,4.069,-14748.68,2932.568,-15585.37,-2142,46.559,-14936.615,2870.8477,-15631.23,-2222,46.056,-6627.057,11176,-15631.23,-2217,46.056,-84.97,52.663,-51.35,-90.35,4.069,-6555.77,11122.9,-15585.4,-2139.89,46.56,-43.3013,-45.435,
pdbbind,refined,1ec9,guest-ligand,-0.678841267,NA,NA,NA,-202.9,-1.266,-88.05,-115.3,1.6967,-158764.5,-18240.63,-120535,-20260,270.89,-158889.34,-18261.296,-120388.5,-20510,270.67,-66195.31,74754,-120388.5,-20832,270.67,14.376,213.92,-88.05,-113.2,1.6967,-66306.5,74540.2,-120535,-20582.7,270.9,77.414,78.06,
pdbbind,refined,1ecq,guest-ligand,-0.659167373,NA,NA,NA,-297.9,0.1991,-71.73,-228.1,1.7363,-158611,-18135.96,-121218.4,-19529,272.81,-158770.93,-18154.315,-120707.4,-20182,272.58,-66055.72,74911,-120707.4,-20532,272.58,-59.9,239.61,-71.73,-229.5,1.7363,-66119.8,74671.1,-121218,-19845.3,272.8,105.4259,137.97,
pdbbind,refined,1ecv,guest-ligand,-0.947387223,NA,NA,NA,-168.1,1.532,25.852,-197.5,1.981,-28120.91,-2956.544,-21107.19,-4123,66.175,-28318.296,-2986.9216,-21332.64,-4064,65.728,-12575.21,12804,-21332.64,-4113,65.728,-80.82,92.682,25.852,-201.3,1.981,-12515.5,12711.8,-21107.2,-4186.3,66.17,-10.7996,-29.286,
pdbbind,refined,1efy,guest-ligand,-1.263942125,NA,NA,NA,-17.93,-0.018,0.4407,-20.89,2.5407,-33114.36,-3327.421,-26096.27,-3772,80.929,-33159.107,-3366.0505,-26121.9,-3751,80.064,-13088.39,16764,-26121.9,-3810,80.064,-84.33,-65.68,0.4407,-21.63,2.5407,-13014.9,16829.2,-26096.3,-3828.73,80.93,-27.7715,-26.817,
pdbbind,refined,1egh,guest-ligand,-1.044279705,NA,NA,NA,-226.6,-0.152,-123.7,-104.2,1.4397,-80212.76,-9383.948,-63048.8,-7933,153.09,-80383.549,-9398.2904,-63071.3,-8067,152.86,-34806.15,36264,-63071.3,-8152,152.86,-255.3,-25.19,-123.7,-107.9,1.4397,-34619.7,36289.3,-63048.8,-8013.22,153.1,54.6596,55.811,
pdbbind,refined,1ejn,guest-ligand,-1.035798998,NA,NA,NA,79.431,-3.761,147.26,-67.25,3.183,-15959.76,1929.2013,-15622.2,-2321,54.36,-15896.218,1871.145,-15502.3,-2319,53.668,-8443.078,9326.1,-15502.3,-2321,53.668,-195.2,-278.3,147.26,-67.33,3.183,-8284.68,9604.33,-15622.2,-2321.16,54.36,-17.4933,-15.889,
pdbbind,refined,1ela,guest-ligand,-1.110017026,NA,NA,NA,-237.7,-8.423,-139.8,-93.29,3.8052,-16611.47,1010.2327,-15743.34,-1931,52.757,-16881.617,948.8619,-15936.98,-1946,52.14,-9246.733,8580.1,-15936.98,-1942,52.14,-17.55,212.49,-139.8,-94.06,3.8052,-9248.54,8367.62,-15743.3,-1925.57,52.76,-33.5908,-32.447,
pdbbind,refined,1elb,guest-ligand,-1.180267414,NA,NA,NA,-258.2,-12.47,-160.9,-88.41,3.6282,-16598.7,1125.6108,-15804.84,-1972,52.711,-16861.695,1068.3914,-15976.5,-2006,52.196,-9294.001,8632.4,-15976.5,-2002,52.196,-27.34,219.94,-160.9,-89.99,3.6282,-9304.82,8412.46,-15804.8,-1965.16,52.71,-6.5904,-4.795,
pdbbind,refined,1elc,guest-ligand,-1.137671691,NA,NA,NA,-249.3,-8.918,-145.5,-99.18,4.3139,-16645.97,1017.5137,-15745.81,-1971,53.364,-16896.818,942.6183,-15886.79,-2005,52.468,-9203.431,8630.9,-15886.79,-2000,52.468,-24.41,217.13,-145.5,-100.3,4.3139,-9240.9,8413.76,-15745.8,-1962.22,53.36,-4.0984,-1.548,
pdbbind,refined,1eld,guest-ligand,-1.141264516,NA,NA,NA,-207.7,-8.486,-171.7,-31,3.4501,-16667.78,986.0918,-15736.72,-1970,52.958,-16905.964,930.1306,-15925.36,-1963,52.357,-9208.476,8616.1,-15925.36,-1952,52.357,3.0478,201.47,-171.7,-30.18,3.4501,-9229.16,8414.66,-15736.7,-1960.07,52.96,-29.839,-30.484,
pdbbind,refined,1ele,guest-ligand,-1.154549191,NA,NA,NA,-206.8,-4.699,-179.2,-26.27,3.3365,-16612.6,1151.4409,-15860.03,-1957,53.069,-16844.596,1102.7658,-16057.45,-1942,52.301,-9256.896,8678.8,-16057.45,-1931,52.301,8.2532,209.97,-179.2,-25.88,3.3365,-9285.38,8468.88,-15860,-1947.29,53.07,-23.7453,-25.196,
pdbbind,refined,1elr,guest-ligand,-0.960843444,NA,NA,NA,-816,-15.04,-427.9,-378.2,5.1869,-13353.26,-1286.449,-9539.375,-2567,39.745,-14231.273,-1351.3436,-10565.71,-2354,39.832,-6215.245,6706.6,-10565.71,-2396,39.832,-338.4,466.82,-427.9,-382.5,5.1869,-5868.46,6239.78,-9539.38,-2608.61,39.74,-58.2396,-62.013,
pdbbind,refined,1eoc,guest-ligand,-1.080034963,NA,NA,NA,-63.12,0.2112,-43.67,-21.18,1.514,-38098.71,-4206.461,-29680.52,-4302,90.621,-38138.085,-4228.9163,-29727.76,-4272,90.182,-18995.31,14959,-29727.76,-4316,90.182,-23.12,38.171,-43.67,-19.13,1.514,-19022.4,14920.4,-29680.5,-4352.82,90.62,27.5435,23.745,
pdbbind,refined,1epo,guest-ligand,-1.2446574,NA,NA,NA,-296.5,-16.8,-226.9,-57.6,4.867,-26660.84,-1925.51,-19633.96,-5168,67.083,-26861.463,-2017.8412,-19969.51,-4939,65.206,-8335.923,16625,-19969.51,-5056,65.206,-53.37,223.75,-226.9,-55.05,4.867,-8351.17,16400.9,-19634,-5185.16,67.08,-6.9142,95.877,
pdbbind,refined,1erb,guest-ligand,-1.255118437,NA,NA,NA,19.56,1.8312,26.344,-12.16,3.5448,-13781.14,853.2567,-12478.88,-2203,47.965,-13796.019,793.3197,-12459.02,-2177,46.639,-7790.514,6803.7,-12459.02,-2182,46.639,-64.9,-83.81,26.344,-10.98,3.5448,-7750.75,6887.47,-12478.9,-2207.31,47.97,-36.6322,-34.439,
pdbbind,refined,1ew8,guest-ligand,-0.489218888,NA,NA,NA,242.31,-0.274,348.31,-107.1,1.3495,-78798.26,-5488.312,-63843.53,-9602,135.8,-78362.396,-5490.5898,-63109.29,-9898,135.64,-31752.01,41515,-63109.29,-10293,135.64,-442.5,-682.8,348.31,-109.3,1.3495,-31458.6,42197.5,-63843.5,-9948.39,135.8,147.0862,193.554,
pdbbind,refined,1ew9,guest-ligand,-0.701628816,NA,NA,NA,-33.1,-0.032,3.2232,-37.56,1.2654,-78763.97,-5507.673,-64047.09,-9344,135.24,-78728.139,-5519.9343,-64012.04,-9331,135.17,-31472.35,42092,-64012.04,-9688,135.17,-190.2,-155.4,3.2232,-39.34,1.2654,-31357.7,42247.5,-64047.1,-9693.32,135.2,63.3207,68.931,
pdbbind,refined,1ex8,guest-ligand,-1.107180142,NA,NA,NA,1358.6,-4.44,1508.4,-150.2,4.8144,-13960.8,-1441.737,-10646.26,-1915,42.097,-12612.353,-1514.7318,-9260.478,-1878,40.537,-8360.96,2742.8,-9260.478,-1884,40.537,-1624,-2997,1508.4,-139.9,4.8144,-6787.62,5740.03,-10646.3,-1923.49,42.1,-17.8948,-10.153,
pdbbind,refined,1ez9,guest-ligand,-0.977544324,NA,NA,NA,-473.3,-13.14,-369.4,-94.94,4.2563,-36102.63,-3566.81,-28346.92,-4267,78.357,-36593.99,-3631.8197,-28779.53,-4261,77.951,-12416.26,20615,-28779.53,-4330,77.951,78.099,522.9,-369.4,-79.63,4.2563,-12519.8,20092.1,-28346.9,-4343.3,78.36,-26.4287,-18.06,
pdbbind,refined,1ezq,guest-ligand,-1.321658855,NA,NA,NA,-60.87,-5.946,-19.51,-39.68,4.263,-18922.01,4025.0714,-19156.83,-3859,69.226,-19004.366,3952.3843,-19215.44,-3810,68.241,-11260.74,11714,-19215.44,-3827,68.241,-102.2,-49.35,-19.51,-37.6,4.263,-11194.4,11763.2,-19156.8,-3869.93,69.23,-30.8811,-21.486,
pdbbind,refined,1f0r,guest-ligand,-1.22160719,NA,NA,NA,-249.1,-6.738,-161,-84.91,3.5626,-19050.09,3991.2228,-19336.82,-3774,69.22,-19332.144,3931.2152,-19543.16,-3789,68.308,-11399.27,11889,-19543.16,-3813,68.308,-170.7,72.485,-161,-85.81,3.5626,-11243.5,11816.1,-19336.8,-3791.99,69.22,-38.3396,-32.954,
pdbbind,refined,1f0s,guest-ligand,-1.227841013,NA,NA,NA,-271.9,-6.575,-188.2,-80.47,3.3892,-18982.62,4025.8123,-19348.22,-3730,69.57,-19288.078,3965.4545,-19613.65,-3709,68.733,-11362.33,11912,-19613.65,-3729,68.733,-147.4,119.14,-188.2,-81.69,3.3892,-11235.8,11792.8,-19348.2,-3749.94,69.57,-32.9128,-33.558,
pdbbind,refined,1f0t,guest-ligand,-1.075055682,NA,NA,NA,-205.6,-6.683,-104.9,-97.51,3.4422,-14815.14,2907.4069,-15572.89,-2196,46.097,-15045.621,2852.605,-15657.53,-2286,45.708,-6795.65,11105,-15657.53,-2289,45.708,-236.6,-36.48,-104.9,-98.65,3.4422,-6580.48,11141.3,-15572.9,-2195.03,46.1,-26.6889,-24.881,
pdbbind,refined,1f0u,guest-ligand,-1.181105989,NA,NA,NA,-61.3,-5.963,-20.12,-39.44,4.2199,-14835.15,2925.9838,-15633.5,-2174,46.665,-14898.376,2864.0918,-15685.43,-2123,46.257,-6665.392,11100,-15685.43,-2126,46.257,-102.9,-49.44,-20.12,-37.52,4.2199,-6609.8,11149.3,-15633.5,-2172.32,46.66,-8.621,-1.926,
pdbbind,refined,1f3e,guest-ligand,-1.141264516,NA,NA,NA,-25.62,0.0039,168.77,-196.2,1.8356,-32158.67,-3700.409,-24750.34,-3783,74.845,-32146.182,-3731.1896,-24689.63,-3799,74.122,-15409.07,13028,-24689.63,-3822,74.122,-170.3,-143.8,168.77,-197.1,1.8356,-15309.1,13171.8,-24750.3,-3805.41,74.85,39.5455,38.108,
pdbbind,refined,1f4e,guest-ligand,-0.651113561,NA,NA,NA,-268.8,-3.819,-185,-82.42,2.3923,-48292.24,-5372.429,-35910.78,-7115,106.06,-48546.591,-5407.8816,-35976.16,-7268,105.3,-21174.29,22045,-35976.16,-7348,105.3,-59.5,207.5,-185,-84.43,2.3923,-21153.2,21837.2,-35910.8,-7185.67,106.1,6.7764,14.449,
pdbbind,refined,1f4f,guest-ligand,-0.918236823,NA,NA,NA,-612.5,-7.187,-255,-353.6,3.2718,-47755.01,-5363.77,-35309.85,-7184,102.19,-48342.574,-5418.1114,-35187.91,-7838,100.97,-21180.29,21813,-35187.91,-7906,100.97,-224.4,389.22,-255,-361.8,3.2718,-21036.8,21423.7,-35309.8,-7252.83,102.2,33.7556,24.936,
pdbbind,refined,1f4g,guest-ligand,-1.121232306,NA,NA,NA,-357.3,-7.682,-281.2,-72.27,3.8505,-47554.35,-5314.12,-35087.49,-7257,103.8,-47912.255,-5378.6819,-35439.62,-7196,102.17,-21105.07,21497,-35439.62,-7264,102.17,-143.7,208.92,-281.2,-75.3,3.8505,-21019.5,21287.8,-35087.5,-7323.6,103.8,1.2501,-0.605,
pdbbind,refined,1f4x,guest-ligand,-1.032587572,NA,NA,NA,-160.6,-4.489,-120.9,-37.87,2.6846,-33349.42,-388.1256,-29400.5,-3654,93.611,-33530.783,-425.7033,-29557.19,-3641,93.278,-14252.75,18804,-29557.19,-3593,93.278,-3.53,149.5,-120.9,-34.77,2.6846,-14256.1,18655,-29400.5,-3604.16,93.61,-26.2087,-20.763,
pdbbind,refined,1f57,guest-ligand,-1.037930439,NA,NA,NA,-239.7,-0.711,-196.3,-44.04,1.3844,-26672.46,-2321.046,-21608.58,-2804,61.113,-26898.601,-2340.2026,-21889.43,-2730,60.742,-10723.56,13870,-21889.43,-2765,60.742,-9.095,232.2,-196.3,-46.33,1.3844,-10746.6,13637.6,-21608.6,-2836.73,61.11,13.6894,13.559,
pdbbind,refined,1f5k,guest-ligand,-0.791451367,NA,NA,NA,1.8739,-0.18,57.279,-56.8,1.5714,-16743.28,1150.0729,-15600.49,-2348,54.726,-16762.154,1127.3961,-15558.98,-2385,54.355,-8342.344,9548,-15558.98,-2386,54.355,-71.19,-72.75,57.279,-57.29,1.5714,-8273.57,9620.78,-15600.5,-2348.58,54.73,-20.0808,-20.7479,
pdbbind,refined,1f5l,guest-ligand,-0.998355659,NA,NA,NA,189.3,0.2427,251.34,-64.37,2.0917,-15702.14,1906.9104,-15472.05,-2189,52.323,-15530.084,1873.2816,-15221.23,-2234,51.915,-8413.658,8993.2,-15221.23,-2238,51.915,-223.1,-409.8,251.34,-66.72,2.0917,-8207.86,9402.98,-15472,-2191.12,52.32,-16.5695,-17.244,
pdbbind,refined,1f73,guest-ligand,-0.52277602,NA,NA,NA,-301.4,-2.851,-180.3,-120.9,2.6088,-111729.7,-11928.67,-90599.28,-9400,197.98,-112059.4,-11962.871,-90875.69,-9418,197.54,-41770.82,58496,-90875.69,-9589,197.54,-63.18,232.43,-180.3,-118,2.6088,-41704.6,58263.7,-90599.3,-9567,198,-34.39,-28.3,
pdbbind,refined,1f74,guest-ligand,-0.669084954,NA,NA,NA,-216.6,-2.192,-100.1,-116.9,2.6084,-113234.4,-12129.41,-91590.65,-9713,198.76,-113480.56,-12162.691,-91769.28,-9747,198.4,-42113.16,59405,-91769.28,-9948,198.4,-31.36,182.07,-100.1,-115.9,2.6084,-42081.1,59223.4,-91590.6,-9912.53,198.8,-31.789,-29.56,
pdbbind,refined,1f8b,guest-ligand,-1.011839372,NA,NA,NA,-256.6,-3.718,-141.9,-113.4,2.4482,-107232.7,12139.659,-107404,-12193,224.44,-107468.98,12108.039,-107537.6,-12263,223.71,-61124.27,58628,-107537.6,-12438,223.71,-54.38,195.77,-141.9,-110.7,2.4482,-61089.7,58432.3,-107404,-12342.4,224.4,-8.092,20.32,
pdbbind,refined,1f8c,guest-ligand,-1.200888,NA,NA,NA,-254.6,-4.989,-160.8,-91.34,2.48,-108018.8,11751.166,-109351.3,-10638,219.03,-108314.63,11709.674,-109687.7,-10555,218.32,-61356.35,58881,-109687.7,-10768,218.32,-88.07,161.64,-160.8,-91.41,2.48,-61257.2,58719.4,-109351,-10844.3,219,-47.583,-41.23,
pdbbind,refined,1f8d,guest-ligand,-0.734265259,NA,NA,NA,-207.3,-5.135,-156.3,-48.32,2.5134,-107352.3,12119.926,-107643.1,-12053,224.14,-107558.48,12080.526,-107891.9,-11970,223.36,-61180.09,58638,-107891.9,-12149,223.36,-14.82,184.21,-156.3,-45.24,2.5134,-61184.6,58453.6,-107643,-12219.3,224.1,-14.935,1.12,
pdbbind,refined,1f8e,guest-ligand,-0.943664357,NA,NA,NA,-334.6,-6.289,-182.6,-148.2,2.5428,-107359.1,12104.309,-107740.6,-11948,224.78,-107727.74,12057.049,-108264.4,-11744,223.99,-61306.77,58634,-108264.4,-11900,223.99,-116.5,215.15,-182.6,-151.5,2.5428,-61190.2,58418.5,-107741,-12092.9,224.8,-41.041,-34.04,
pdbbind,refined,1fao,guest-ligand,-1.198450624,NA,NA,NA,-412.3,-5.447,-241.3,-168.3,2.8666,-8346.998,-110.7121,-6373.406,-1894,31.559,-8671.655,-138.934,-6684.949,-1879,31.357,-4785.307,3779.9,-6684.949,-1912,31.357,-866,-457.5,-241.3,-170.1,2.8666,-4022.71,4237.37,-6373.41,-1918.23,31.56,80.6281,87.643,
pdbbind,refined,1fch,guest-ligand,-1.180267414,NA,NA,NA,-722.8,-16.38,-492.1,-219.6,5.2904,-26890.05,-3052.808,-19621.59,-4285,69.163,-27647.266,-3145.8468,-20507.67,-4062,67.965,-13127.57,11395,-20507.67,-4083,67.965,-223,487.03,-492.1,-223.2,5.2904,-12950.4,10908.2,-19621.6,-4306.25,69.16,-30.8288,-34.416,
pdbbind,refined,1fcx,guest-ligand,-1.183614703,NA,NA,NA,-148.2,-3.391,-63,-85.17,3.4019,-20814.29,-2287.253,-15971.15,-2613,57.128,-21026.708,-2360.2932,-16099.53,-2623,56.08,-9514.63,9175,-16099.53,-2646,56.08,-81.05,63.225,-63,-84.67,3.4019,-9442.47,9111.81,-15971.2,-2640.25,57.13,-60.7592,-64.218,
pdbbind,refined,1fcy,guest-ligand,-1.285449805,NA,NA,NA,-142.2,-2.984,-62.76,-79.87,3.3704,-20930.69,-2291.03,-16129.17,-2567,56.905,-21143.3,-2362.762,-16262.2,-2574,55.863,-9498.001,9302.5,-16262.2,-2594,55.863,-61.55,78.728,-62.76,-80.89,3.3704,-9443.43,9223.73,-16129.2,-2594.89,56.91,-61.769,-70.41,
pdbbind,refined,1fcz,guest-ligand,-1.332825023,NA,NA,NA,-131.5,-1.386,-53.2,-80.24,3.2989,-20825.2,-2285.506,-16008.66,-2588,56.977,-21024.052,-2353.9098,-16126.12,-2600,55.998,-9533.447,9159,-16126.12,-2622,55.998,-75.63,55.843,-53.2,-81.57,3.2989,-9469.02,9103.12,-16008.7,-2620.46,56.98,-55.8148,-67.352,
pdbbind,refined,1fd0,guest-ligand,-1.276939024,NA,NA,NA,-152.8,1.0813,-70.16,-87.16,3.4164,-20830.79,-2288.916,-16057.92,-2541,57.15,-21048.12,-2356.3857,-16199.04,-2549,56.124,-9505.555,9204.5,-16199.04,-2567,56.124,-51.07,103.27,-70.16,-87.6,3.4164,-9465.11,9101.27,-16057.9,-2565.61,57.15,-57.926,-64.53,
pdbbind,refined,1fh7,guest-ligand,-0.993792899,NA,NA,NA,-214.7,-3.779,-115.5,-97.77,2.3283,-27073.23,-1530.039,-22707.74,-2894,58.379,-27320.604,-1572.4693,-23088.65,-2717,57.9,-11671.17,14118,-23088.65,-2758,57.9,45.941,252.74,-115.5,-93.65,2.3283,-11720.6,13865.1,-22707.7,-2936.41,58.38,-35.1623,-32.674,
pdbbind,refined,1fh8,guest-ligand,-1.158042651,NA,NA,NA,-176.9,-3.291,-80.35,-95.49,2.2716,-27072.92,-1539.645,-22598.53,-2993,58.706,-27294.249,-1582.6541,-22976.7,-2793,58.222,-11712.02,14041,-22976.7,-2835,58.222,22.723,192.65,-80.35,-91.85,2.2716,-11729.2,13848.5,-22598.5,-3037.95,58.71,-45.2611,-44.429,
pdbbind,refined,1fh9,guest-ligand,-1.116584723,NA,NA,NA,-246.2,-3.802,-190.5,-54.33,2.388,-27052.93,-1528.906,-22699.14,-2883,58.462,-27294.242,-1567.2916,-22941.13,-2844,57.949,-11652.83,14146,-22941.13,-2916,57.949,33.063,268.31,-190.5,-47.13,2.388,-11705.8,13877.6,-22699.1,-2942.78,58.46,-14.6766,4.888,
pdbbind,refined,1fhd,guest-ligand,-1.151915683,NA,NA,NA,-181.9,-4.079,-85.03,-95.35,2.5273,-27050.64,-1529.778,-22711.66,-2867,58.183,-27264.163,-1568.7809,-23087.88,-2665,57.627,-11700.59,14039,-23087.88,-2709,57.627,13.701,185.72,-85.03,-89.52,2.5273,-11712.5,13853,-22711.7,-2912.03,58.18,-36.7149,-31.623,
pdbbind,refined,1fiv,guest-ligand,-1.131332009,NA,NA,NA,-546.2,-21.76,-390.1,-140.5,6.2084,-20125.45,-2097.425,-15836.7,-2246,54.915,-20581.207,-2198.6172,-16333.53,-2101,52.023,-10985.42,7454.8,-16333.53,-2159,52.023,-259.2,262.79,-390.1,-138,6.2084,-10862.4,7192.01,-15836.7,-2272.66,54.91,56.7478,90.443,
pdbbind,refined,1fjs,guest-ligand,-1.379146243,NA,NA,NA,-160.3,-8.496,-1.196,-154.9,4.2771,-25513.32,-2523.155,-19380.09,-3677,66.673,-25712.586,-2589.2946,-19494.18,-3695,65.961,-11233.26,11928,-19494.18,-3733,65.961,-154.2,-1.616,-1.196,-155.7,4.2771,-11103.3,11929.7,-19380.1,-3719.61,66.67,-33.4036,-38.966,
pdbbind,refined,1fkb,guest-ligand,-1.363275531,NA,NA,NA,-95.59,-32.27,-23.05,-45.89,5.6137,-9676.497,-926.7385,-7578.747,-1203,31.551,-9818.6796,-1022.431,-7635.838,-1193,32.187,-4162.95,4645.3,-7635.838,-1205,32.187,26.782,86.324,-23.05,-42.11,5.6137,-4202.15,4558.95,-7578.75,-1213.91,31.55,-51.0045,-46.5926,
pdbbind,refined,1fkf,guest-ligand,-1.344425814,NA,NA,NA,-84.51,-25.55,-23.42,-40.78,5.2372,-9662.518,-939.4306,-7612.928,-1140,30.043,-9790.2276,-1025.8604,-7663.331,-1132,30.585,-4113.851,4660.2,-7663.331,-1141,30.585,27.465,82.723,-23.42,-37.07,5.2372,-4157.97,4577.5,-7612.93,-1152.59,30.04,-44.2258,-43.1996,
pdbbind,refined,1fkg,guest-ligand,-1.247664925,NA,NA,NA,-90.98,-10.77,-65.3,-18.59,3.6768,-9740.559,-939.3708,-7778.422,-1054,30.977,-9869.6647,-1000.7867,-7862.678,-1037,30.618,-4169.235,4712,-7862.678,-1049,30.618,48.435,128.16,-65.3,-18.1,3.6768,-4229.02,4583.85,-7778.42,-1065.43,30.98,-39.2959,-38.1257,
